                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.61614,                0.78625,                 1.6262,                0.98837,                0.43628,                0.75756,                0.59878,                0.54735,                0.43628,                0.75756,                0.59878,                0.54851,                0.40801,                0.61052,                  2.542,                0.91934,                0.01008,              0.0050797,              0.0050797
                     48,                0.50399,                0.64993,                 1.6201,                0.95138,                0.43628,                0.75756,                0.59878,                0.54735,                0.43628,                0.75756,                0.59878,                0.54851,                0.40801,                0.61052,                  2.542,                0.91934,              0.0080906,              0.0050906,              0.0050906
                     49,                0.66045,                0.87117,                 1.6628,                 1.0147,                 0.3718,                0.72436,                0.53878,                0.48177,                 0.3718,                0.72436,                0.53878,                0.49958,                0.46715,                0.72597,                 2.5589,                0.95415,              0.0060975,              0.0050975,              0.0050975
                     50,                0.64212,                0.83586,                 1.5916,                0.98573,                 0.3718,                0.72436,                0.53878,                0.48177,                 0.3718,                0.72436,                0.53878,                0.49958,                0.46715,                0.72597,                 2.5589,                0.95415,                0.00505,                0.00505,                0.00505
                     51,                0.62736,                 1.0322,                 1.8415,                 1.0099,                0.58039,                0.76722,                0.71769,                0.62708,                0.58039,                0.76722,                0.71769,                0.63285,                0.51436,                0.70214,                 2.4328,                0.99729,                0.00505,                0.00505,                0.00505
                     52,                0.65063,                0.93868,                 1.7436,                 1.0154,                0.58039,                0.76722,                0.71769,                0.62708,                0.58039,                0.76722,                0.71769,                0.63285,                0.51436,                0.70214,                 2.4328,                0.99729,               0.004951,               0.004951,               0.004951
                     53,                0.61487,                0.64435,                 1.4867,                0.97822,                0.68438,                0.74797,                 0.7899,                0.71493,                0.68438,                0.74797,                 0.7899,                 0.7286,                0.47917,                 0.6608,                   2.42,                 0.9503,               0.004852,               0.004852,               0.004852
                     54,                0.64043,                0.78328,                 1.6673,                 1.0406,                0.68438,                0.74797,                 0.7899,                0.71493,                0.68438,                0.74797,                 0.7899,                 0.7286,                0.47917,                 0.6608,                   2.42,                 0.9503,               0.004753,               0.004753,               0.004753
                     55,                0.60835,                0.63395,                 1.6036,                0.92832,                0.64954,                0.76082,                0.86423,                0.81424,                0.64954,                0.76082,                0.86423,                0.80154,                0.40706,                0.62795,                 2.3211,                0.90985,               0.004654,               0.004654,               0.004654
                     56,                 0.6028,                0.77937,                 1.4778,                0.95796,                0.64954,                0.76082,                0.86423,                0.81424,                0.64954,                0.76082,                0.86423,                0.80154,                0.40706,                0.62795,                 2.3211,                0.90985,               0.004555,               0.004555,               0.004555
